Load,Solar,Wind,,,,
32.23,5.54,5.16,,,,
32.72,4.48,5.07,,,,
32.25,3.16,5.03,,,,
31.47,1.74,5.10,,,,
29.71,0.44,5.22,,,,
29.76,0.00,5.38,,,,
32.59,0.00,5.69,,,,
31.69,0.00,6.00,,,,
31.14,0.00,6.22,,,,
29.76,0.00,6.28,,,,
28.10,0.00,6.23,,,,
27.20,0.00,6.15,,,,
26.09,0.00,6.14,,,,
24.91,0.00,6.20,,,,
23.87,0.00,6.23,,,,
24.77,0.00,6.17,,,,
24.77,0.00,5.96,,,,
23.18,0.43,5.74,,,,
24.40,2.22,5.50,,,,
26.05,4.09,5.28,,,,
27.61,5.66,5.16,,,,
28.70,6.54,5.20,,,,
29.41,7.13,5.25,,,,
29.15,7.22,5.15,,,,
28.78,6.86,5.12,,,,
28.89,6.02,5.12,,,,
28.60,4.70,5.06,,,,
28.30,2.93,5.00,,,,
29.22,0.92,4.88,,,,
28.41,0.00,4.76,,,,
32.04,0.00,4.74,,,,
31.14,0.00,4.78,,,,
30.79,0.00,4.78,,,,
29.62,0.00,4.72,,,,
28.58,0.00,4.75,,,,
27.20,0.00,4.75,,,,
26.09,0.00,4.63,,,,
24.91,0.00,4.42,,,,
23.87,0.00,4.27,,,,
24.77,0.00,4.22,,,,
24.77,0.00,4.28,,,,
23.18,0.54,4.27,,,,
25.10,2.60,4.25,,,,
24.88,4.59,4.24,,,,
25.87,6.10,4.06,,,,
26.23,7.10,3.64,,,,
27.31,7.59,3.18,,,,
26.75,7.64,2.72,,,,
25.83,7.22,2.23,,,,
27.19,6.33,1.83,,,,
27.21,4.94,1.65,,,,
27.14,3.09,1.68,,,,
27.02,0.99,1.84,,,,
24.64,0.00,2.12,,,,
31.35,0.00,2.48,,,,
31.21,0.00,2.89,,,,
30.66,0.00,3.28,,,,
29.06,0.00,3.56,,,,
28.10,0.00,3.86,,,,
27.26,0.00,4.19,,,,
26.02,0.00,4.48,,,,
25.60,0.00,4.61,,,,
25.26,0.00,4.57,,,,
24.91,0.00,4.43,,,,
24.57,0.00,4.14,,,,
24.57,0.58,3.84,,,,
26.27,2.57,3.63,,,,
28.94,4.58,3.50,,,,
31.97,6.08,3.34,,,,
32.66,7.18,3.03,,,,
32.94,7.70,2.66,,,,
33.42,7.73,2.34,,,,
33.15,7.32,2.15,,,,
32.87,6.43,2.06,,,,
34.49,5.01,2.07,,,,
33.63,3.14,2.16,,,,
30.20,1.03,2.30,,,,
28.72,0.00,2.48,,,,
32.52,0.00,2.63,,,,
32.18,0.00,2.74,,,,
31.56,0.00,2.75,,,,
29.96,0.00,2.66,,,,
28.16,0.00,2.50,,,,
26.64,0.00,2.25,,,,
18.20,0.00,1.91,,,,
24.50,0.00,1.60,,,,
24.01,0.00,1.42,,,,
24.01,0.00,1.38,,,,
24.01,0.00,1.31,,,,
24.01,0.57,1.23,,,,
25.88,2.62,1.20,,,,
29.34,4.67,1.17,,,,
31.23,6.22,1.09,,,,
31.72,7.25,1.00,,,,
34.69,7.77,1.00,,,,
33.48,7.82,1.05,,,,
32.70,7.40,1.09,,,,
32.89,6.48,1.12,,,,
32.88,5.07,1.17,,,,
32.00,3.18,1.25,,,,
29.87,1.05,1.18,,,,
29.41,0.00,1.07,,,,
32.52,0.00,1.05,,,,
32.32,0.00,1.05,,,,
30.72,0.00,0.99,,,,
29.89,0.00,0.83,,,,
27.96,0.00,0.69,,,,
26.85,0.00,0.60,,,,
25.53,0.00,0.54,,,,
24.91,0.00,0.51,,,,
24.50,0.00,0.52,,,,
24.91,0.00,0.55,,,,
24.57,0.00,0.56,,,,
24.22,0.60,0.53,,,,
26.11,2.65,0.47,,,,
28.07,4.60,0.41,,,,
30.66,6.10,0.37,,,,
30.53,7.09,0.35,,,,
31.33,7.62,0.37,,,,
31.42,7.67,0.36,,,,
32.43,7.26,0.29,,,,
32.48,6.37,0.24,,,,
32.57,4.98,0.25,,,,
31.50,3.13,0.37,,,,
29.90,1.05,0.53,,,,
29.27,0.00,0.61,,,,
32.52,0.00,0.52,,,,
32.32,0.00,0.36,,,,
30.93,0.00,0.28,,,,
28.99,0.00,0.27,,,,
27.96,0.00,0.37,,,,
26.57,0.00,0.53,,,,
25.60,0.00,0.71,,,,
24.98,0.00,0.95,,,,
24.57,0.00,1.22,,,,
24.43,0.00,1.54,,,,
24.70,0.00,1.94,,,,
24.50,0.57,2.47,,,,
25.15,2.57,3.04,,,,
26.88,4.54,3.43,,,,
30.41,6.13,3.57,,,,
31.32,7.15,3.50,,,,
31.74,7.64,3.21,,,,
31.11,7.71,2.77,,,,
31.23,7.27,2.42,,,,
31.44,6.36,2.30,,,,
32.13,4.97,2.34,,,,
31.49,3.13,2.34,,,,
29.89,1.05,2.17,,,,
28.72,0.00,2.18,,,,
32.11,0.00,2.40,,,,
32.45,0.00,2.51,,,,
31.49,0.00,2.48,,,,
30.38,0.00,2.39,,,,
28.72,0.00,2.38,,,,
26.99,0.00,2.53,,,,
25.95,0.00,2.63,,,,
25.12,0.00,2.51,,,,
24.64,0.00,2.31,,,,
24.15,0.00,2.30,,,,
24.50,0.00,2.49,,,,
24.91,0.60,2.72,,,,
26.59,2.57,2.87,,,,
29.12,4.52,2.98,,,,
30.39,6.07,3.03,,,,
31.23,7.16,2.86,,,,
33.80,7.73,2.66,,,,
32.12,7.79,2.57,,,,
32.35,7.38,2.54,,,,
32.67,6.50,2.48,,,,
32.01,5.09,2.49,,,,
31.35,3.22,2.53,,,,
30.37,1.09,2.50,,,,
29.41,0.00,2.60,,,,
32.66,0.00,2.81,,,,
32.32,0.00,2.99,,,,
31.49,0.00,3.15,,,,
30.10,0.00,3.34,,,,
29.06,0.00,3.49,,,,
27.68,0.00,3.45,,,,
27.06,0.00,3.44,,,,
26.09,0.00,3.52,,,,
25.26,0.00,3.76,,,,
25.26,0.00,4.49,,,,
25.47,0.00,5.38,,,,
24.15,0.56,6.03,,,,
23.82,2.46,6.45,,,,
26.96,4.46,6.60,,,,
28.21,5.95,6.59,,,,
28.92,7.00,6.40,,,,
29.38,7.57,5.93,,,,
29.47,7.66,5.09,,,,
29.24,7.27,4.24,,,,
30.84,6.39,4.10,,,,
29.26,4.92,4.18,,,,
29.31,3.14,3.89,,,,
28.72,1.11,3.65,,,,
28.51,0.00,3.69,,,,
32.04,0.00,3.95,,,,
31.69,0.00,4.15,,,,
31.49,0.00,4.18,,,,
29.96,0.00,4.09,,,,
28.79,0.00,4.05,,,,
27.47,0.00,4.08,,,,
26.16,0.00,4.06,,,,
28.79,0.00,3.92,,,,
27.68,0.00,3.81,,,,
24.91,0.00,3.69,,,,
25.05,0.00,3.61,,,,
24.01,0.61,3.41,,,,
24.22,2.64,3.19,,,,
24.57,4.38,2.99,,,,
26.79,5.80,2.73,,,,
26.34,6.79,2.36,,,,
26.94,7.47,1.90,,,,
26.82,7.47,1.52,,,,
26.50,7.05,1.22,,,,
27.47,6.19,1.05,,,,
27.06,4.85,1.00,,,,
27.39,3.05,1.10,,,,
27.33,1.03,1.30,,,,
27.82,0.00,1.65,,,,
30.93,0.00,2.14,,,,
31.90,0.00,2.63,,,,
31.21,0.00,3.01,,,,
29.76,0.00,3.39,,,,
28.93,0.00,3.93,,,,
27.40,0.00,4.56,,,,
26.78,0.00,5.06,,,,
25.74,0.00,5.32,,,,
25.33,0.00,5.57,,,,
25.88,0.00,5.88,,,,
25.88,0.00,6.03,,,,
25.33,0.61,5.98,,,,
26.75,2.59,5.87,,,,
28.99,4.50,5.61,,,,
32.05,6.03,4.99,,,,
32.75,7.07,4.15,,,,
33.40,7.61,3.70,,,,
32.09,7.68,3.64,,,,
33.56,7.28,3.50,,,,
32.09,6.37,3.17,,,,
31.86,4.97,2.88,,,,
31.76,3.14,2.81,,,,
30.31,1.08,2.84,,,,
28.79,0.00,2.84,,,,
32.73,0.00,2.85,,,,
32.94,0.00,2.93,,,,
31.62,0.00,3.05,,,,
31.62,0.00,3.18,,,,
28.37,0.00,3.23,,,,
27.06,0.00,3.18,,,,
25.95,0.00,3.08,,,,
24.91,0.00,3.02,,,,
24.57,0.00,2.69,,,,
24.43,0.00,2.09,,,,
24.22,0.00,1.93,,,,
24.70,0.60,2.28,,,,
26.32,2.35,2.73,,,,
27.55,4.10,3.01,,,,
29.99,5.56,3.22,,,,
29.48,6.48,3.36,,,,
30.41,6.75,3.02,,,,
31.02,6.73,2.51,,,,
30.86,6.19,2.14,,,,
26.81,5.52,1.91,,,,
26.08,4.34,1.82,,,,
27.43,2.70,1.81,,,,
27.83,0.88,1.82,,,,
27.47,0.00,1.81,,,,
31.21,0.00,1.77,,,,
30.52,0.00,1.75,,,,
29.48,0.00,1.71,,,,
28.16,0.00,1.67,,,,
26.71,0.00,1.80,,,,
25.40,0.00,2.00,,,,
24.57,0.00,2.12,,,,
23.87,0.00,2.00,,,,
23.53,0.00,1.76,,,,
23.53,0.00,1.90,,,,
23.94,0.00,1.79,,,,
23.94,0.55,1.72,,,,
25.92,2.33,1.59,,,,
27.99,4.18,1.42,,,,
30.88,5.68,1.22,,,,
31.86,6.71,0.97,,,,
31.58,7.20,0.69,,,,
30.85,7.23,0.42,,,,
30.86,6.86,0.20,,,,
26.81,6.05,0.07,,,,
26.08,4.62,0.03,,,,
27.43,2.83,0.01,,,,
27.83,0.86,0.00,,,,
27.47,0.00,0.00,,,,
31.21,0.00,0.00,,,,
30.52,0.00,0.00,,,,
29.48,0.00,0.00,,,,
28.16,0.00,0.00,,,,
26.71,0.00,0.00,,,,
26.57,0.00,0.00,,,,
25.47,0.00,0.00,,,,
24.77,0.00,0.00,,,,
24.08,0.00,0.01,,,,
23.94,0.00,0.03,,,,
24.08,0.00,0.05,,,,
24.22,0.56,0.05,,,,
26.78,2.40,0.01,,,,
28.10,4.38,0.00,,,,
31.28,5.95,0.00,,,,
32.04,7.01,0.00,,,,
32.04,7.61,0.00,,,,
32.11,7.66,0.00,,,,
31.90,7.25,0.00,,,,
32.11,6.38,0.00,,,,
31.90,5.01,0.00,,,,
31.45,3.17,0.00,,,,
29.70,1.10,0.00,,,,
29.27,0.00,0.00,,,,
33.08,0.00,0.01,,,,
32.87,0.00,0.05,,,,
31.90,0.00,0.13,,,,
29.96,0.00,0.21,,,,
27.96,0.00,0.25,,,,
26.64,0.00,0.25,,,,
25.60,0.00,0.20,,,,
24.84,0.00,0.14,,,,
24.29,0.00,0.09,,,,
24.29,0.00,0.05,,,,
24.29,0.00,0.04,,,,
24.91,0.68,0.02,,,,
25.67,2.72,0.01,,,,
27.40,4.66,0.02,,,,
30.75,6.17,0.02,,,,
31.21,7.19,0.01,,,,
31.76,7.70,0.00,,,,
31.44,7.74,0.00,,,,
31.90,7.32,0.00,,,,
31.55,6.40,0.00,,,,
30.70,5.02,0.00,,,,
30.50,3.20,0.00,,,,
30.50,1.12,0.01,,,,
29.76,0.00,0.01,,,,
32.52,0.00,0.01,,,,
32.18,0.00,0.01,,,,
30.45,0.00,0.01,,,,
29.89,0.00,0.01,,,,
28.37,0.00,0.01,,,,
26.64,0.00,0.01,,,,
25.60,0.00,0.01,,,,
25.05,0.00,0.01,,,,
24.29,0.00,0.01,,,,
24.01,0.00,0.02,,,,
22.97,0.00,0.02,,,,
22.91,0.66,0.00,,,,
23.74,2.62,0.00,,,,
27.24,4.61,0.00,,,,
28.49,6.11,0.00,,,,
28.79,7.12,0.00,,,,
29.63,7.68,0.00,,,,
29.57,7.73,0.00,,,,
28.86,7.32,0.00,,,,
29.20,6.40,0.00,,,,
29.26,5.00,0.00,,,,
28.70,3.15,0.00,,,,
28.41,1.09,0.00,,,,
28.72,0.00,0.03,,,,
31.49,0.00,0.12,,,,
31.35,0.00,0.22,,,,
31.14,0.00,0.30,,,,
29.83,0.00,0.37,,,,
28.72,0.00,0.41,,,,
27.68,0.00,0.36,,,,
26.09,0.00,0.32,,,,
25.47,0.00,0.30,,,,
24.84,0.00,0.33,,,,
24.77,0.00,0.42,,,,
24.57,0.00,0.46,,,,
23.25,0.53,0.41,,,,
23.94,2.12,0.32,,,,
24.77,3.40,0.24,,,,
26.10,4.16,0.19,,,,
26.34,4.76,0.12,,,,
27.18,4.66,0.05,,,,
27.33,4.19,0.02,,,,
28.05,3.64,0.02,,,,
28.22,2.94,0.02,,,,
27.98,1.92,0.03,,,,
27.80,0.95,0.04,,,,
27.69,0.25,0.04,,,,
28.72,0.00,0.03,,,,
32.52,0.00,0.00,,,,
32.18,0.00,0.00,,,,
31.83,0.00,0.01,,,,
31.00,0.00,0.01,,,,
28.58,0.00,0.01,,,,
27.54,0.00,0.01,,,,
26.71,0.00,0.01,,,,
26.85,0.00,0.01,,,,
25.60,0.00,0.03,,,,
24.91,0.00,0.07,,,,
25.26,0.00,0.16,,,,
26.09,0.49,0.24,,,,
28.03,2.14,0.29,,,,
29.34,3.99,0.36,,,,
30.75,5.49,0.51,,,,
31.93,6.11,0.56,,,,
32.45,5.67,0.50,,,,
32.90,5.28,0.41,,,,
32.38,4.95,0.31,,,,
31.01,3.99,0.11,,,,
31.40,2.38,0.01,,,,
31.03,0.97,0.01,,,,
29.90,0.21,0.20,,,,
30.10,0.00,0.55,,,,
31.97,0.00,0.79,,,,
31.49,0.00,0.94,,,,
29.76,0.00,1.23,,,,
29.89,0.00,1.76,,,,
28.37,0.00,1.74,,,,
26.64,0.00,1.43,,,,
25.95,0.00,1.37,,,,
24.84,0.00,1.35,,,,
24.43,0.00,1.45,,,,
23.60,0.00,1.61,,,,
24.43,0.00,1.77,,,,
25.12,0.26,1.94,,,,
26.43,1.11,2.03,,,,
27.13,2.18,1.74,,,,
29.33,3.17,1.59,,,,
30.70,3.92,1.67,,,,
30.79,4.74,1.72,,,,
28.79,4.97,1.72,,,,
28.39,4.56,1.55,,,,
27.67,3.32,1.35,,,,
28.86,2.31,1.33,,,,
28.12,1.37,1.64,,,,
27.13,0.37,2.19,,,,
28.10,0.00,2.32,,,,
30.59,0.00,1.81,,,,
30.17,0.00,1.30,,,,
29.48,0.00,0.96,,,,
28.10,0.00,0.72,,,,
26.50,0.00,0.63,,,,
25.40,0.00,0.69,,,,
23.87,0.00,0.74,,,,
23.04,0.00,0.85,,,,
23.04,0.00,0.96,,,,
22.77,0.00,1.07,,,,
23.18,0.00,1.25,,,,
23.87,0.53,1.42,,,,
24.91,2.06,1.53,,,,
26.69,3.56,1.50,,,,
29.03,4.46,1.42,,,,
29.72,5.10,1.53,,,,
27.24,5.44,1.45,,,,
27.04,5.44,1.34,,,,
28.81,5.40,1.16,,,,
29.41,4.66,0.88,,,,
28.88,3.67,0.71,,,,
28.65,2.41,0.84,,,,
27.69,0.80,1.21,,,,
27.68,0.00,1.69,,,,
30.66,0.00,2.23,,,,
30.52,0.00,2.68,,,,
29.06,0.00,2.72,,,,
27.82,0.00,2.76,,,,
26.16,0.00,2.79,,,,
25.60,0.00,2.75,,,,
24.01,0.00,2.59,,,,
23.87,0.00,2.35,,,,
23.87,0.00,2.19,,,,
23.74,0.00,2.19,,,,
24.22,0.00,2.37,,,,
24.70,0.28,2.63,,,,
25.95,1.27,3.11,,,,
27.17,2.67,3.51,,,,
28.30,4.25,3.54,,,,
29.34,5.62,3.40,,,,
27.96,6.16,3.38,,,,
28.23,6.55,3.29,,,,
29.06,6.40,2.93,,,,
29.13,5.37,2.43,,,,
29.34,4.02,2.23,,,,
28.65,2.34,2.50,,,,
27.55,0.71,3.03,,,,
27.40,0.00,3.91,,,,
30.66,0.00,4.85,,,,
30.38,0.00,5.35,,,,
29.62,0.00,5.27,,,,
27.68,0.00,4.71,,,,
26.37,0.00,4.52,,,,
25.12,0.00,4.77,,,,
24.57,0.00,4.83,,,,
23.11,0.00,4.63,,,,
23.67,0.00,4.51,,,,
24.01,0.00,4.56,,,,
24.22,0.00,4.44,,,,
24.84,0.47,4.23,,,,
25.91,1.79,4.09,,,,
27.82,3.44,3.89,,,,
30.03,5.00,3.70,,,,
30.66,5.92,3.63,,,,
32.11,6.48,3.68,,,,
31.42,6.87,3.50,,,,
31.07,6.41,3.09,,,,
31.42,5.50,2.93,,,,
31.76,4.44,2.88,,,,
30.66,2.72,2.75,,,,
30.21,0.92,3.11,,,,
29.41,0.00,3.62,,,,
32.52,0.00,3.86,,,,
32.66,0.00,3.94,,,,
31.49,0.00,3.98,,,,
30.45,0.00,3.87,,,,
28.72,0.00,3.78,,,,
27.54,0.00,3.79,,,,
26.50,0.00,3.51,,,,
25.81,0.00,3.08,,,,
26.23,0.00,2.84,,,,
24.98,0.00,2.74,,,,
24.77,0.00,2.95,,,,
24.08,0.38,3.39,,,,
24.22,1.48,3.82,,,,
26.39,3.06,4.01,,,,
28.03,4.56,3.92,,,,
29.20,5.35,3.67,,,,
28.65,6.01,3.36,,,,
29.89,6.43,3.09,,,,
29.55,6.08,2.92,,,,
30.10,5.36,3.04,,,,
29.76,4.21,3.36,,,,
24.70,2.42,3.42,,,,
27.11,0.82,3.42,,,,
28.30,0.00,3.16,,,,
30.52,0.00,2.77,,,,
30.93,0.00,2.67,,,,
30.10,0.00,2.54,,,,
30.45,0.00,2.32,,,,
28.58,0.00,2.38,,,,
27.33,0.00,2.73,,,,
26.16,0.00,3.10,,,,
25.40,0.00,3.07,,,,
24.91,0.00,3.02,,,,
24.64,0.00,3.36,,,,
25.05,0.00,3.58,,,,
23.18,0.33,3.49,,,,
23.74,1.40,3.42,,,,
24.91,2.72,3.23,,,,
25.15,4.01,2.95,,,,
26.92,5.06,2.76,,,,
26.85,5.84,2.73,,,,
27.26,6.20,2.58,,,,
27.40,5.60,2.02,,,,
28.23,4.51,1.28,,,,
26.99,3.32,0.71,,,,
27.47,2.07,0.33,,,,
27.49,0.69,0.13,,,,
28.86,0.00,0.07,,,,
31.76,0.00,0.06,,,,
32.18,0.00,0.06,,,,
31.21,0.00,0.09,,,,
29.96,0.00,0.13,,,,
28.65,0.00,0.21,,,,
27.40,0.00,0.29,,,,
26.43,0.00,0.38,,,,
25.60,0.00,0.55,,,,
25.33,0.00,0.78,,,,
25.12,0.00,0.91,,,,
25.12,0.00,0.90,,,,
24.85,0.56,0.90,,,,
26.64,2.17,1.03,,,,
28.79,3.86,1.15,,,,
31.76,5.32,1.05,,,,
33.01,6.36,0.82,,,,
34.05,6.85,0.62,,,,
33.08,6.90,0.38,,,,
34.12,6.53,0.17,,,,
33.15,5.62,0.06,,,,
33.22,4.16,0.02,,,,
31.42,2.47,0.01,,,,
30.70,0.85,0.00,,,,
30.31,0.00,0.01,,,,
33.42,0.00,0.01,,,,
33.42,0.00,0.03,,,,
32.66,0.00,0.05,,,,
31.14,0.00,0.06,,,,
29.76,0.00,0.07,,,,
27.68,0.00,0.12,,,,
27.20,0.00,0.23,,,,
26.16,0.00,0.45,,,,
25.95,0.00,0.76,,,,
25.81,0.00,0.84,,,,
25.81,0.00,0.63,,,,
25.47,0.29,0.62,,,,
27.54,1.17,0.95,,,,
29.13,2.16,0.98,,,,
31.17,3.22,0.81,,,,
33.11,4.00,0.81,,,,
34.46,4.45,1.03,,,,
33.42,4.70,1.28,,,,
33.82,4.41,1.32,,,,
33.96,3.35,1.32,,,,
33.30,2.10,1.41,,,,
32.61,0.97,1.55,,,,
30.41,0.28,1.69,,,,
30.38,0.00,1.86,,,,
33.35,0.00,2.08,,,,
32.87,0.00,2.08,,,,
32.18,0.00,1.74,,,,
30.59,0.00,1.29,,,,
29.06,0.00,1.05,,,,
27.68,0.00,1.07,,,,
26.85,0.00,1.34,,,,
26.09,0.00,1.87,,,,
26.09,0.00,2.50,,,,
25.60,0.00,3.14,,,,
25.74,0.00,3.51,,,,
25.74,0.34,3.66,,,,
27.40,1.33,3.80,,,,
28.86,2.50,4.00,,,,
32.04,3.29,4.25,,,,
32.54,3.50,4.39,,,,
33.57,3.74,4.24,,,,
33.10,4.30,3.96,,,,
33.58,5.11,3.59,,,,
33.55,5.07,3.34,,,,
32.78,3.96,3.23,,,,
32.48,2.12,3.22,,,,
30.79,0.60,3.25,,,,
29.76,0.00,3.27,,,,
33.35,0.00,3.38,,,,
33.42,0.00,3.56,,,,
32.04,0.00,3.79,,,,
30.45,0.00,4.16,,,,
29.20,0.00,4.27,,,,
27.82,0.00,4.24,,,,
27.26,0.00,4.44,,,,
26.23,0.00,4.55,,,,
26.02,0.00,4.79,,,,
25.67,0.00,5.05,,,,
25.67,0.00,5.10,,,,
25.47,0.52,5.08,,,,
27.68,1.95,5.11,,,,
31.35,3.42,5.12,,,,
32.64,4.65,5.15,,,,
33.91,5.80,5.14,,,,
33.63,6.21,4.92,,,,
34.67,5.80,4.50,,,,
34.53,5.12,4.01,,,,
33.91,4.48,3.70,,,,
33.63,3.41,3.54,,,,
32.99,1.82,3.31,,,,
30.79,0.59,3.10,,,,
30.24,0.00,3.15,,,,
33.42,0.00,3.55,,,,
33.29,0.00,3.85,,,,
32.39,0.00,3.86,,,,
31.62,0.00,3.83,,,,
29.76,0.00,3.91,,,,
28.37,0.00,3.94,,,,
26.85,0.00,3.79,,,,
26.02,0.00,3.45,,,,
25.26,0.00,3.12,,,,
24.98,0.00,2.99,,,,
24.98,0.00,2.88,,,,
25.26,0.36,2.70,,,,
27.64,1.41,2.63,,,,
30.10,2.51,2.59,,,,
33.12,3.62,2.50,,,,
33.67,4.02,2.16,,,,
34.30,3.99,1.70,,,,
34.48,4.05,1.28,,,,
34.25,3.84,0.99,,,,
34.39,3.18,0.83,,,,
33.57,2.32,0.92,,,,
32.52,1.29,1.32,,,,
31.00,0.39,1.85,,,,
30.52,0.00,2.41,,,,
33.08,0.00,2.99,,,,
33.01,0.00,3.50,,,,
32.52,0.00,3.85,,,,
31.00,0.00,4.00,,,,
29.76,0.00,4.25,,,,
28.16,0.00,4.48,,,,
27.47,0.00,4.48,,,,
26.78,0.00,4.49,,,,
24.70,0.00,4.33,,,,
24.22,0.00,3.88,,,,
24.22,0.00,3.47,,,,
24.91,0.22,3.10,,,,
25.51,0.75,2.69,,,,
27.24,1.27,2.26,,,,
30.41,1.83,2.02,,,,
30.04,2.39,1.77,,,,
30.64,3.03,1.31,,,,
30.93,3.41,0.94,,,,
30.93,2.97,0.78,,,,
30.77,2.48,0.82,,,,
30.48,1.68,1.06,,,,
30.06,0.80,1.68,,,,
29.34,0.22,2.32,,,,
29.83,0.00,2.76,,,,
32.59,0.00,2.68,,,,
32.39,0.00,2.57,,,,
32.25,0.00,2.70,,,,
31.00,0.00,2.92,,,,
29.83,0.00,3.30,,,,
28.65,0.00,3.83,,,,
27.47,0.00,4.04,,,,
26.78,0.00,3.89,,,,
26.30,0.00,3.46,,,,
26.30,0.00,3.15,,,,
25.60,0.00,3.17,,,,
24.57,0.30,3.47,,,,
25.23,1.21,3.62,,,,
26.89,1.92,3.47,,,,
27.40,2.75,2.93,,,,
27.82,3.15,2.42,,,,
27.96,2.88,2.07,,,,
27.96,2.74,1.89,,,,
27.96,2.37,1.81,,,,
27.82,1.91,1.77,,,,
27.96,1.32,1.75,,,,
27.75,0.75,1.78,,,,
27.40,0.25,1.73,,,,
28.30,0.00,1.59,,,,
31.90,0.00,1.48,,,,
32.04,0.00,1.53,,,,
31.35,0.00,1.65,,,,
30.79,0.00,1.77,,,,
26.64,0.00,1.93,,,,
28.03,0.00,2.11,,,,
27.33,0.00,2.30,,,,
26.16,0.00,2.50,,,,
25.40,0.00,2.63,,,,
25.40,0.00,2.76,,,,
25.40,0.00,2.77,,,,
24.36,0.15,2.64,,,,
24.88,0.81,2.59,,,,
25.65,1.74,2.54,,,,
26.16,2.50,2.54,,,,
26.64,3.34,2.57,,,,
26.50,4.44,2.68,,,,
26.57,5.32,2.86,,,,
26.85,4.47,3.05,,,,
26.43,3.43,3.18,,,,
26.43,2.48,3.34,,,,
26.78,1.56,3.66,,,,
26.64,0.63,3.78,,,,
27.33,0.01,3.68,,,,
30.93,0.00,3.51,,,,
30.66,0.00,3.13,,,,
29.34,0.00,2.55,,,,
29.27,0.00,2.00,,,,
26.64,0.00,1.72,,,,
25.60,0.00,1.51,,,,
25.12,0.00,1.28,,,,
24.57,0.00,1.21,,,,
24.36,0.00,1.17,,,,
24.43,0.00,1.21,,,,
24.57,0.00,1.27,,,,
24.84,0.74,1.41,,,,
26.65,2.57,1.68,,,,
28.23,4.26,2.04,,,,
29.48,5.50,2.39,,,,
30.93,6.29,2.65,,,,
31.90,6.63,2.88,,,,
32.18,6.54,3.03,,,,
32.18,6.20,3.02,,,,
32.45,5.52,2.96,,,,
32.39,4.46,2.97,,,,
32.84,2.92,3.01,,,,
30.52,1.13,2.99,,,,
29.06,0.01,2.93,,,,
32.87,0.00,2.89,,,,
32.66,0.00,2.87,,,,
31.69,0.00,2.75,,,,
30.93,0.00,2.57,,,,
28.93,0.00,2.51,,,,
27.40,0.00,2.56,,,,
26.50,0.00,2.63,,,,
25.74,0.00,2.74,,,,
25.53,0.00,2.88,,,,
24.98,0.00,2.95,,,,
24.98,0.00,2.82,,,,
25.74,0.65,2.51,,,,
26.43,2.32,2.24,,,,
28.93,4.05,2.08,,,,
31.49,5.35,2.01,,,,
32.25,6.22,1.86,,,,
33.15,6.61,1.71,,,,
33.42,6.25,1.60,,,,
33.70,5.86,1.51,,,,
33.22,5.11,1.56,,,,
33.22,3.89,1.74,,,,
32.32,2.43,2.00,,,,
30.03,0.95,2.28,,,,
29.27,0.01,2.57,,,,
32.59,0.00,2.90,,,,
32.80,0.00,3.15,,,,
31.83,0.00,3.28,,,,
27.26,0.00,3.36,,,,
28.03,0.00,3.35,,,,
26.64,0.00,3.22,,,,
25.95,0.00,3.03,,,,
25.74,0.00,2.88,,,,
24.98,0.00,2.76,,,,
24.70,0.00,2.64,,,,
25.60,0.00,2.58,,,,
24.57,0.74,2.60,,,,
25.60,2.57,2.64,,,,
29.48,4.35,2.72,,,,
31.62,5.78,2.83,,,,
33.01,6.76,2.94,,,,
34.18,7.31,2.93,,,,
32.32,7.37,2.88,,,,
33.77,7.01,2.89,,,,
33.91,6.17,3.04,,,,
33.63,4.82,3.32,,,,
32.25,3.07,3.71,,,,
30.45,1.17,4.11,,,,
29.62,0.02,4.32,,,,
32.87,0.00,4.35,,,,
32.87,0.00,4.21,,,,
32.25,0.00,3.96,,,,
30.86,0.00,3.58,,,,
28.79,0.00,3.19,,,,
27.33,0.00,2.87,,,,
26.30,0.00,2.62,,,,
25.95,0.00,2.41,,,,
25.60,0.00,2.22,,,,
25.26,0.00,2.16,,,,
25.26,0.00,2.26,,,,
25.12,0.75,2.48,,,,
27.75,2.46,2.69,,,,
28.12,4.17,2.94,,,,
30.03,5.65,3.22,,,,
33.56,6.61,3.51,,,,
33.29,7.03,3.80,,,,
33.73,7.06,4.11,,,,
34.74,6.72,4.46,,,,
33.84,5.83,4.78,,,,
34.42,4.54,4.95,,,,
32.72,2.78,5.02,,,,
31.42,0.93,4.94,,,,
30.10,0.01,4.81,,,,
33.08,0.00,4.81,,,,
32.94,0.00,4.90,,,,
32.39,0.00,5.04,,,,
31.69,0.00,5.21,,,,
29.83,0.00,5.35,,,,
28.58,0.00,5.56,,,,
27.68,0.00,5.63,,,,
26.85,0.00,5.70,,,,
26.50,0.00,5.79,,,,
26.16,0.00,5.95,,,,
25.81,0.00,6.04,,,,
24.43,0.44,5.96,,,,
24.98,1.64,5.81,,,,
27.13,2.98,5.67,,,,
28.92,4.33,5.56,,,,
29.89,5.39,5.52,,,,
30.52,5.97,5.41,,,,
30.17,5.84,5.25,,,,
30.79,5.08,4.95,,,,
30.60,4.22,4.57,,,,
30.78,3.11,3.95,,,,
30.57,1.83,3.17,,,,
29.83,0.69,2.50,,,,
29.55,0.01,2.07,,,,
32.66,0.00,1.96,,,,
32.59,0.00,2.10,,,,
32.04,0.00,2.41,,,,
31.14,0.00,2.75,,,,
