Load,Solar,Wind,,,,
23.80,1.37,0.64,,,,
25.19,3.30,0.58,,,,
26.74,4.87,0.57,,,,
27.47,5.95,0.56,,,,
28.49,6.52,0.57,,,,
28.03,6.61,0.57,,,,
28.93,6.22,0.57,,,,
27.66,5.31,0.61,,,,
29.03,3.90,0.64,,,,
28.88,1.99,0.52,,,,
28.79,0.17,0.33,,,,
30.17,0.00,0.24,,,,
31.97,0.00,0.24,,,,
31.62,0.00,0.24,,,,
30.59,0.00,0.20,,,,
29.48,0.00,0.17,,,,
27.82,0.00,0.16,,,,
26.37,0.00,0.16,,,,
25.05,0.00,0.18,,,,
24.57,0.00,0.22,,,,
22.84,0.00,0.30,,,,
22.97,0.00,0.42,,,,
23.04,0.00,0.47,,,,
23.87,0.02,0.49,,,,
22.77,1.67,0.51,,,,
23.79,3.71,0.51,,,,
24.95,5.25,0.46,,,,
25.56,6.32,0.35,,,,
25.71,6.89,0.24,,,,
25.76,6.90,0.16,,,,
25.69,6.47,0.10,,,,
24.96,5.55,0.07,,,,
25.33,4.09,0.07,,,,
25.33,2.14,0.07,,,,
24.91,0.21,0.06,,,,
27.54,0.00,0.04,,,,
29.06,0.00,0.03,,,,
29.13,0.00,0.03,,,,
28.51,0.00,0.04,,,,
27.26,0.00,0.04,,,,
25.67,0.00,0.05,,,,
24.64,0.00,0.06,,,,
23.67,0.00,0.09,,,,
22.28,0.00,0.12,,,,
21.80,0.00,0.15,,,,
22.14,0.00,0.19,,,,
22.14,0.00,0.19,,,,
23.94,0.02,0.17,,,,
25.22,1.64,0.15,,,,
26.14,3.62,0.13,,,,
29.17,5.14,0.11,,,,
30.42,6.15,0.06,,,,
30.99,6.53,0.02,,,,
29.83,6.70,0.01,,,,
30.84,6.21,0.00,,,,
31.46,5.16,0.00,,,,
30.95,3.63,0.01,,,,
30.50,1.78,0.04,,,,
28.72,0.14,0.17,,,,
30.59,0.00,0.38,,,,
31.56,0.00,0.62,,,,
30.45,0.00,0.79,,,,
29.69,0.00,0.91,,,,
27.68,0.00,1.00,,,,
27.06,0.00,1.13,,,,
25.60,0.00,1.20,,,,
24.50,0.00,1.18,,,,
23.87,0.00,1.16,,,,
23.53,0.00,1.25,,,,
23.60,0.00,1.45,,,,
23.74,0.00,1.68,,,,
24.91,0.02,1.91,,,,
25.95,1.62,2.03,,,,
26.85,3.64,1.89,,,,
29.20,5.19,1.63,,,,
30.24,6.25,1.38,,,,
30.24,6.78,1.20,,,,
30.66,6.83,1.12,,,,
30.59,6.40,1.12,,,,
32.39,5.45,1.25,,,,
31.28,3.99,1.49,,,,
30.24,2.08,1.75,,,,
29.07,0.21,1.96,,,,
30.45,0.00,2.14,,,,
32.73,0.00,2.37,,,,
31.56,0.00,2.62,,,,
30.66,0.00,2.86,,,,
29.13,0.00,3.02,,,,
27.75,0.00,3.18,,,,
25.88,0.00,3.34,,,,
25.12,0.00,3.24,,,,
24.57,0.00,2.86,,,,
20.76,0.00,2.40,,,,
23.32,0.00,1.97,,,,
23.94,0.00,1.61,,,,
24.22,0.03,1.28,,,,
25.26,1.75,1.09,,,,
26.64,3.75,1.18,,,,
30.38,5.30,1.39,,,,
30.45,6.31,1.45,,,,
29.96,6.80,1.26,,,,
30.45,6.83,0.90,,,,
30.52,6.36,0.65,,,,
30.72,5.27,0.55,,,,
30.72,3.73,0.62,,,,
